id,platform,parent_id,is_reply,text,likes,posted,video,vader,textblob,score,vader_label,label_num
30022,youtube,,False,"Copyright? Most content is trawled freely for comment sites the internet, like this. Some is even a blatant collage of comments. Stuff copyright.",0,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,0.6597,0.1333333333333333,0.3965166666666666,positive,1
74959,youtube,,False,"AI = not stoppable.., as USA can be lead by maybe 30 peoples and all the rest can be replaced by AI. Few milions more burocrats can also pick the tomatoes, strawbery's and grapes, etc. etc., for which they now put imported peoples into labourslavery for! 
Even underaged children 30.000 missing under democrats ""leadership""!",0,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,-0.4184,0.0583333333333333,-0.1800333333333333,negative,-1
14957,youtube,,False,AI scam ads must be made illegal ... this is automated fraud and theft,0,6 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,-0.9022,-0.5,-0.7011000000000001,negative,-1
12503,youtube,,False,"What a load of crap, a law that simultaneously makes people pay for ""Australian stories"" and guarantees that they will be told worldwide when  other stories are free.   
How about stop trying to regulate and micro manage everything that happens, especially the stuff you don't understand.  This is just another backdoor to internet censorship.",2,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,-0.2263,-0.105,-0.16565,negative,-1
38696,youtube,,False,Does that mean writers illustrators and books are NOT protected?,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,-0.3412,-0.3125,-0.32685,negative,-1
31118,youtube,,False,"The horse has already bolted, and most of what people seek to protect is low value garbage that AI will be able to produce faster and for less money. People don't seem to get what the I in AGI/ASI stands for, the machines will be more intelligent and more creative than the majority of humans. I've already seen things that you wouldn't believe an AI could do. 😬",1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,0.7897,0.3916666666666667,0.5906833333333333,positive,1
67936,youtube,,False,I pray all will know the love of The Prince of Peace Jesus The Messiah ❤,2,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,0.9349,0.5,0.7174499999999999,positive,1
17879,youtube,,False,"Look what they did to night life in south east Queensland and would have been a RINO if he was a Republican Crisafulli is even worse turning Australia into the most unfree state in the world, hospitality workers and shift workers are seen as a slave class to these monsters that don't have a right to a social life unless they want to use the pokies bunch of fkwits the lot of them.",0,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,-0.4215,0.1047619047619047,-0.1583690476190476,negative,-1
22485,youtube,,False,Neitralize the Labour scourge,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,0.0,0.0,0.0,neutral,0
78212,youtube,,False,Maybe introduce AI to the Coalition; they're certainly lacking in intellect. 😂,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,0.8074,0.2142857142857142,0.5108428571428572,positive,1
18804,youtube,78212.0,True,Release the Net Zero Files.,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,0.0,0.0,0.0,neutral,0
77063,youtube,,False,AI is a lot useable and trustworthy that the current Labor government.,2,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,0.5574,0.0,0.2787,positive,1
86757,youtube,77063.0,True,Which means zero trust,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,0.5106,0.0,0.2553,positive,1
29877,youtube,,False,"youtube.com/channel/UCKLw84y4fZTd8hZh1PcJxxA


I have seen countless ads using AI of someone famous, pretending they have a way for everyone to earn lots of money. When will YouTube and Farcebook stop these ads.",1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,-0.2023,0.25,0.0238499999999999,negative,-1
80980,youtube,,False,Peter can't wait for Aussies to be boosted and receive Forehead Barcodes,0,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,0.3612,0.0,0.1806,positive,1
74769,youtube,,False,Spot on with that 👌,1,7 days ago,https://www.youtube.com/watch?v=N9LKQ9tVT28,0.7297,0.0,0.36485,positive,1
